命令,命令标题,命令类型,命令格式,示例命令,示例响应,功能描述,备注,参数JSON
ATI,获取模组厂商信息,执行;查询,ATI,ATI,,获取模组厂商信息,,"[{""name"": ""<manufacturer>"", ""desc"": ""模组厂商信息、产品名称、版本号"", ""values"": {}}, {""name"": ""<module_version>"", ""desc"": ""模组型号"", ""values"": {}}, {""name"": ""<soft_version>"", ""desc"": ""模组软件版本"", ""values"": {}}]"
AT+GMR,查询版本信息,执行;查询,AT+GMR,AT+GMR,,查询版本信息,,"[{""name"": ""<reversion>"", ""desc"": ""模组软件版本信息"", ""values"": {}}]"
AT+CSQ,获取信号强度,执行;查询,AT+CSQ,AT+CSQ,,获取信号强度,,"[{""name"": ""<signal>"", ""desc"": ""以下为signal(CSQ)与rssi对应关系："", ""values"": {""0"": ""<4或99"", ""1"": ""<10"", ""2"": ""<16"", ""3"": ""<22"", ""4"": ""<28"", ""5"": "">=28""}}, {""name"": ""<ber>"", ""desc"": """", ""values"": {""0...7"": ""参考GSM 05.08 8.2.4 章节表格中RXQUAL 的取值"", ""99"": ""误码率无法测量""}}]"
